"month","num"
2013-01-01,24
2013-02-01,12
2013-03-01,20
2013-04-01,21
2013-05-01,38
2013-06-01,27
2013-07-01,31
2013-08-01,23
2013-09-01,24
2013-10-01,36
2013-11-01,25
2013-12-01,20
2014-01-01,16
2014-02-01,22
2014-03-01,26
2014-04-01,19
2014-05-01,42
2014-06-01,30
2014-07-01,23
2014-08-01,43
2014-09-01,20
2014-10-01,30
2014-11-01,21
2014-12-01,24
2015-01-01,24
2015-02-01,24
2015-03-01,39
2015-04-01,36
2015-05-01,28
2015-06-01,22
2015-07-01,31
2015-08-01,27
2015-09-01,23
2015-10-01,29
2015-11-01,25
2015-12-01,14
