"name","rate","num"
"Albuquerque, NM",16.1530882012459,9
"Oklahoma City, OK",16.1133866793855,10
"St. Louis, MO",15.7520501293243,5
"Fresno, CA",15.5042966282031,8
"Las Vegas, NV",14.667559758083,9
"Bakersfield, CA",13.55899110259,5
"Tucson, AZ",13.2582788481207,7
"Kansas City, MO",12.7442650807137,6
"Tulsa, OK",12.5099454065982,5
"Oakland, CA",12.0838620022959,5
"Seattle, WA",10.473679643057,7
"Phoenix, AZ",10.4094965837333,16
"Detroit, MI",10.2903344358692,7
"Dallas, TX",10.1479492946004,13
"Baltimore, MD",9.63401965018875,6
"Miami, FL",9.29514886180902,4
"Long Beach, CA",8.44635613638331,4
"Jacksonville, FL",8.20265719220701,7
"Louisville, KY",8.15953523287314,5
"Chicago, IL",8.08113755969481,22
"New Orleans, LA",7.8059950041632,3
"Wichita, KS",7.72373736203474,3
"Cleveland, OH",7.70176704208502,3
"Washington, DC",7.58848553558772,5
"Denver, CO",7.53168580216973,5
"Houston, TX",7.14426685980001,16
"Omaha, NE",6.71743555180374,3
"San Antonio, TX",6.26436889615556,9
"Sacramento, CA",6.1830300557091,3
"Columbus, OH",5.98116888787342,5
"Indianapolis, IN",5.89075246115638,5
"Anaheim, CA",5.76373859139993,2
"Aurora, CO",5.66398948763551,2
"Tampa, FL",5.57570553583924,2
"Los Angeles, CA",5.34505648452072,21
"Fort Worth, TX",4.92466493810927,4
"San Francisco, CA",4.69225273880927,4
"Nashville, TN",4.658283826128,3
"San Diego, CA",3.62038391999241,5
"Milwaukee, WI",3.33532340963442,2
"Austin, TX",3.28662311525859,3
"Portland, OR",3.22913975716869,2
"Riverside, CA",3.12985126946767,1
"Honolulu, HI",2.85388942320041,1
"Philadelphia, PA",2.56361449134364,4
"Charlotte, NC",2.46926383837187,2
"Minneapolis, MN",2.45575346199844,1
"Atlanta, GA",2.19297283783843,1
"Mesa, AZ",2.15190745076436,1
"San Jose, CA",1.96892058851036,2
"New York, NY",1.76655993896653,15
"Boston, MA",1.52465984838782,1
"Memphis, TN",1.52239210426559,1
"El Paso, TX",1.47267597005166,1
"Virginia Beach, VA",0,0
"Colorado Springs, CO",0,0
"Raleigh, NC",0,0
"Arlington, VA",0,0
"Santa Ana, CA",0,0
"Corpus Christi, TX",0,0
