"state","ratePerMil"
"AK",2.71469136673852
"AL",3.91802905816562
"AR",2.35978733596528
"AZ",7.1306713348795
"CA",4.61310482571999
"CO",4.10764571032957
"CT",0.834103256978594
"DC",7.58848553558772
"DE",4.27526736453281
"FL",5.07708702081912
"GA",3.07011458360878
"HI",2.81777253672086
"IA",3.21840826538737
"ID",2.44728547095562
"IL",2.95017770938886
"IN",1.81904862241174
"KS",6.19830228500414
"KY",4.53159507388426
"LA",5.80685621965918
"MA",0.88949400836836
"MD",4.35043998844122
"ME",4.51097633316267
"MI",2.82546392856339
"MN",2.19894073359961
"MO",5.27740254163005
"MS",6.01186541838074
"MT",5.86178497214187
"NC",4.02254070911761
"ND",2.7045959198466
"NE",3.18893990602194
"NH",0.753685711550912
"NJ",2.01383392023539
"NM",9.58969529702163
"NV",7.74893725086727
"NY",1.41799240938535
"OH",2.67375920107385
"OK",7.47798314153166
"OR",4.53373210025895
"PA",1.40765666690831
"RI",0.947711891794047
"SC",4.55252601044349
"SD",3.51627743428957
"TN",3.96985839209742
"TX",4.1176752955582
"UT",6.4562122693858
"VA",1.32111676642499
"VT",1.59601124868728
"WA",5.09804532445518
"WI",1.73684565208481
"WV",4.32356244251013
"WY",5.13564083382265
